,Industry,Year,Metric,Attribute,Value,Scenario
0,Agriculture,2035,1-Employment,Direct,0,Large Hold 10
1,Agriculture,2035,1-Employment,Indirect,0.494,Large Hold 10
2,Agriculture,2035,1-Employment,Induced,2.884,Large Hold 10
3,Agriculture,2035,1-Employment,Total,3.38,Large Hold 10
4,Agriculture,2035,2-EmployeeCompensation,Direct,0,Large Hold 10
5,Agriculture,2035,2-EmployeeCompensation,Indirect,5221.928,Large Hold 10
6,Agriculture,2035,2-EmployeeCompensation,Induced,30918.402,Large Hold 10
7,Agriculture,2035,2-EmployeeCompensation,Total,36140.33,Large Hold 10
8,Agriculture,2035,3-PropietorsIncome,Direct,0,Large Hold 10
9,Agriculture,2035,3-PropietorsIncome,Indirect,5624.352,Large Hold 10
10,Agriculture,2035,3-PropietorsIncome,Induced,13571.474,Large Hold 10
11,Agriculture,2035,3-PropietorsIncome,Total,19195.836,Large Hold 10
12,Agriculture,2035,4-LaborIncome,Direct,0,Large Hold 10
13,Agriculture,2035,4-LaborIncome,Indirect,10846.276,Large Hold 10
14,Agriculture,2035,4-LaborIncome,Induced,44489.878,Large Hold 10
15,Agriculture,2035,4-LaborIncome,Total,55336.166,Large Hold 10
16,Agriculture,2035,5-OtherPropertyTypeIncome,Direct,0,Large Hold 10
17,Agriculture,2035,5-OtherPropertyTypeIncome,Indirect,121.062,Large Hold 10
18,Agriculture,2035,5-OtherPropertyTypeIncome,Induced,22464.318,Large Hold 10
19,Agriculture,2035,5-OtherPropertyTypeIncome,Total,22585.368,Large Hold 10
20,Agriculture,2035,6-IndirectBusinessTaxes,Direct,0,Large Hold 10
21,Agriculture,2035,6-IndirectBusinessTaxes,Indirect,38.776,Large Hold 10
22,Agriculture,2035,6-IndirectBusinessTaxes,Induced,398.156,Large Hold 10
23,Agriculture,2035,6-IndirectBusinessTaxes,Total,436.934,Large Hold 10
24,Agriculture,2035,7-TotalValueAdded,Direct,0,Large Hold 10
25,Agriculture,2035,7-TotalValueAdded,Indirect,11006.122,Large Hold 10
26,Agriculture,2035,7-TotalValueAdded,Induced,67352.356,Large Hold 10
27,Agriculture,2035,7-TotalValueAdded,Total,78358.474,Large Hold 10
28,Agriculture,2035,8-Output,Direct,0,Large Hold 10
29,Agriculture,2035,8-Output,Indirect,18963.136,Large Hold 10
30,Agriculture,2035,8-Output,Induced,144449.148,Large Hold 10
31,Agriculture,2035,8-Output,Total,163412.284,Large Hold 10
32,Agriculture,2040,1-Employment,Direct,0,Large Hold 10
33,Agriculture,2040,1-Employment,Indirect,0.084,Large Hold 10
34,Agriculture,2040,1-Employment,Induced,2.13,Large Hold 10
35,Agriculture,2040,1-Employment,Total,2.22,Large Hold 10
36,Agriculture,2040,2-EmployeeCompensation,Direct,0,Large Hold 10
37,Agriculture,2040,2-EmployeeCompensation,Indirect,1744.916,Large Hold 10
38,Agriculture,2040,2-EmployeeCompensation,Induced,22820.958,Large Hold 10
39,Agriculture,2040,2-EmployeeCompensation,Total,24565.88,Large Hold 10
40,Agriculture,2040,3-PropietorsIncome,Direct,0,Large Hold 10
41,Agriculture,2040,3-PropietorsIncome,Indirect,2597.606,Large Hold 10
42,Agriculture,2040,3-PropietorsIncome,Induced,9510.876,Large Hold 10
43,Agriculture,2040,3-PropietorsIncome,Total,12108.476,Large Hold 10
44,Agriculture,2040,4-LaborIncome,Direct,0,Large Hold 10
45,Agriculture,2040,4-LaborIncome,Indirect,4342.528,Large Hold 10
46,Agriculture,2040,4-LaborIncome,Induced,32331.822,Large Hold 10
47,Agriculture,2040,4-LaborIncome,Total,36674.354,Large Hold 10
48,Agriculture,2040,5-OtherPropertyTypeIncome,Direct,0,Large Hold 10
49,Agriculture,2040,5-OtherPropertyTypeIncome,Indirect,139.572,Large Hold 10
50,Agriculture,2040,5-OtherPropertyTypeIncome,Induced,15895.684,Large Hold 10
51,Agriculture,2040,5-OtherPropertyTypeIncome,Total,16035.256,Large Hold 10
52,Agriculture,2040,6-IndirectBusinessTaxes,Direct,0,Large Hold 10
53,Agriculture,2040,6-IndirectBusinessTaxes,Indirect,55.47,Large Hold 10
54,Agriculture,2040,6-IndirectBusinessTaxes,Induced,280.442,Large Hold 10
55,Agriculture,2040,6-IndirectBusinessTaxes,Total,335.896,Large Hold 10
56,Agriculture,2040,7-TotalValueAdded,Direct,0,Large Hold 10
57,Agriculture,2040,7-TotalValueAdded,Indirect,4537.566,Large Hold 10
58,Agriculture,2040,7-TotalValueAdded,Induced,48507.936,Large Hold 10
59,Agriculture,2040,7-TotalValueAdded,Total,53045.502,Large Hold 10
60,Agriculture,2040,8-Output,Direct,0,Large Hold 10
61,Agriculture,2040,8-Output,Indirect,7969.594,Large Hold 10
62,Agriculture,2040,8-Output,Induced,105180.988,Large Hold 10
63,Agriculture,2040,8-Output,Total,113150.586,Large Hold 10
64,Agriculture,2045,1-Employment,Direct,0,Large Hold 10
65,Agriculture,2045,1-Employment,Indirect,0.066,Large Hold 10
66,Agriculture,2045,1-Employment,Induced,1.966,Large Hold 10
67,Agriculture,2045,1-Employment,Total,2.03,Large Hold 10
68,Agriculture,2045,2-EmployeeCompensation,Direct,0,Large Hold 10
69,Agriculture,2045,2-EmployeeCompensation,Indirect,1281.942,Large Hold 10
70,Agriculture,2045,2-EmployeeCompensation,Induced,21054.11,Large Hold 10
71,Agriculture,2045,2-EmployeeCompensation,Total,22336.054,Large Hold 10
72,Agriculture,2045,3-PropietorsIncome,Direct,0,Large Hold 10
73,Agriculture,2045,3-PropietorsIncome,Indirect,1798.892,Large Hold 10
74,Agriculture,2045,3-PropietorsIncome,Induced,8815.404,Large Hold 10
75,Agriculture,2045,3-PropietorsIncome,Total,10614.304,Large Hold 10
76,Agriculture,2045,4-LaborIncome,Direct,0,Large Hold 10
77,Agriculture,2045,4-LaborIncome,Indirect,3080.846,Large Hold 10
78,Agriculture,2045,4-LaborIncome,Induced,29869.51,Large Hold 10
79,Agriculture,2045,4-LaborIncome,Total,32950.35,Large Hold 10
80,Agriculture,2045,5-OtherPropertyTypeIncome,Direct,0,Large Hold 10
81,Agriculture,2045,5-OtherPropertyTypeIncome,Indirect,291.184,Large Hold 10
82,Agriculture,2045,5-OtherPropertyTypeIncome,Induced,14639.608,Large Hold 10
83,Agriculture,2045,5-OtherPropertyTypeIncome,Total,14930.806,Large Hold 10
84,Agriculture,2045,6-IndirectBusinessTaxes,Direct,0,Large Hold 10
85,Agriculture,2045,6-IndirectBusinessTaxes,Indirect,34.076,Large Hold 10
86,Agriculture,2045,6-IndirectBusinessTaxes,Induced,259.544,Large Hold 10
87,Agriculture,2045,6-IndirectBusinessTaxes,Total,293.622,Large Hold 10
88,Agriculture,2045,7-TotalValueAdded,Direct,0,Large Hold 10
89,Agriculture,2045,7-TotalValueAdded,Indirect,3406.102,Large Hold 10
90,Agriculture,2045,7-TotalValueAdded,Induced,44768.674,Large Hold 10
91,Agriculture,2045,7-TotalValueAdded,Total,48174.766,Large Hold 10
92,Agriculture,2045,8-Output,Direct,0,Large Hold 10
93,Agriculture,2045,8-Output,Indirect,6407.53,Large Hold 10
94,Agriculture,2045,8-Output,Induced,97124.828,Large Hold 10
95,Agriculture,2045,8-Output,Total,103532.352,Large Hold 10
96,Agriculture,2050,1-Employment,Direct,0,Large Hold 10
97,Agriculture,2050,1-Employment,Indirect,0.066,Large Hold 10
98,Agriculture,2050,1-Employment,Induced,1.966,Large Hold 10
99,Agriculture,2050,1-Employment,Total,2.032,Large Hold 10
100,Agriculture,2050,2-EmployeeCompensation,Direct,0,Large Hold 10
101,Agriculture,2050,2-EmployeeCompensation,Indirect,1282.608,Large Hold 10
