,Industry,Year,Metric,Attribute,Value,Scenario
0,Agriculture,2035,1-Employment,Direct,0,Large Hold Zero
1,Agriculture,2035,1-Employment,Indirect,0.494,Large Hold Zero
2,Agriculture,2035,1-Employment,Induced,2.884,Large Hold Zero
3,Agriculture,2035,1-Employment,Total,3.38,Large Hold Zero
4,Agriculture,2035,2-EmployeeCompensation,Direct,0,Large Hold Zero
5,Agriculture,2035,2-EmployeeCompensation,Indirect,5221.928,Large Hold Zero
6,Agriculture,2035,2-EmployeeCompensation,Induced,30918.402,Large Hold Zero
7,Agriculture,2035,2-EmployeeCompensation,Total,36140.33,Large Hold Zero
8,Agriculture,2035,3-PropietorsIncome,Direct,0,Large Hold Zero
9,Agriculture,2035,3-PropietorsIncome,Indirect,5624.352,Large Hold Zero
10,Agriculture,2035,3-PropietorsIncome,Induced,13571.474,Large Hold Zero
11,Agriculture,2035,3-PropietorsIncome,Total,19195.836,Large Hold Zero
12,Agriculture,2035,4-LaborIncome,Direct,0,Large Hold Zero
13,Agriculture,2035,4-LaborIncome,Indirect,10846.276,Large Hold Zero
14,Agriculture,2035,4-LaborIncome,Induced,44489.878,Large Hold Zero
15,Agriculture,2035,4-LaborIncome,Total,55336.166,Large Hold Zero
16,Agriculture,2035,5-OtherPropertyTypeIncome,Direct,0,Large Hold Zero
17,Agriculture,2035,5-OtherPropertyTypeIncome,Indirect,121.062,Large Hold Zero
18,Agriculture,2035,5-OtherPropertyTypeIncome,Induced,22464.318,Large Hold Zero
19,Agriculture,2035,5-OtherPropertyTypeIncome,Total,22585.368,Large Hold Zero
20,Agriculture,2035,6-IndirectBusinessTaxes,Direct,0,Large Hold Zero
21,Agriculture,2035,6-IndirectBusinessTaxes,Indirect,38.776,Large Hold Zero
22,Agriculture,2035,6-IndirectBusinessTaxes,Induced,398.156,Large Hold Zero
23,Agriculture,2035,6-IndirectBusinessTaxes,Total,436.934,Large Hold Zero
24,Agriculture,2035,7-TotalValueAdded,Direct,0,Large Hold Zero
25,Agriculture,2035,7-TotalValueAdded,Indirect,11006.122,Large Hold Zero
26,Agriculture,2035,7-TotalValueAdded,Induced,67352.356,Large Hold Zero
27,Agriculture,2035,7-TotalValueAdded,Total,78358.474,Large Hold Zero
28,Agriculture,2035,8-Output,Direct,0,Large Hold Zero
29,Agriculture,2035,8-Output,Indirect,18963.136,Large Hold Zero
30,Agriculture,2035,8-Output,Induced,144449.148,Large Hold Zero
31,Agriculture,2035,8-Output,Total,163412.284,Large Hold Zero
32,Agriculture,2040,1-Employment,Direct,0,Large Hold Zero
33,Agriculture,2040,1-Employment,Indirect,0.084,Large Hold Zero
34,Agriculture,2040,1-Employment,Induced,2.13,Large Hold Zero
35,Agriculture,2040,1-Employment,Total,2.22,Large Hold Zero
36,Agriculture,2040,2-EmployeeCompensation,Direct,0,Large Hold Zero
37,Agriculture,2040,2-EmployeeCompensation,Indirect,1744.916,Large Hold Zero
38,Agriculture,2040,2-EmployeeCompensation,Induced,22820.958,Large Hold Zero
39,Agriculture,2040,2-EmployeeCompensation,Total,24565.88,Large Hold Zero
40,Agriculture,2040,3-PropietorsIncome,Direct,0,Large Hold Zero
41,Agriculture,2040,3-PropietorsIncome,Indirect,2597.606,Large Hold Zero
42,Agriculture,2040,3-PropietorsIncome,Induced,9510.876,Large Hold Zero
43,Agriculture,2040,3-PropietorsIncome,Total,12108.476,Large Hold Zero
44,Agriculture,2040,4-LaborIncome,Direct,0,Large Hold Zero
45,Agriculture,2040,4-LaborIncome,Indirect,4342.528,Large Hold Zero
46,Agriculture,2040,4-LaborIncome,Induced,32331.822,Large Hold Zero
47,Agriculture,2040,4-LaborIncome,Total,36674.354,Large Hold Zero
48,Agriculture,2040,5-OtherPropertyTypeIncome,Direct,0,Large Hold Zero
49,Agriculture,2040,5-OtherPropertyTypeIncome,Indirect,139.572,Large Hold Zero
50,Agriculture,2040,5-OtherPropertyTypeIncome,Induced,15895.684,Large Hold Zero
51,Agriculture,2040,5-OtherPropertyTypeIncome,Total,16035.256,Large Hold Zero
52,Agriculture,2040,6-IndirectBusinessTaxes,Direct,0,Large Hold Zero
53,Agriculture,2040,6-IndirectBusinessTaxes,Indirect,55.47,Large Hold Zero
54,Agriculture,2040,6-IndirectBusinessTaxes,Induced,280.442,Large Hold Zero
55,Agriculture,2040,6-IndirectBusinessTaxes,Total,335.896,Large Hold Zero
56,Agriculture,2040,7-TotalValueAdded,Direct,0,Large Hold Zero
57,Agriculture,2040,7-TotalValueAdded,Indirect,4537.566,Large Hold Zero
58,Agriculture,2040,7-TotalValueAdded,Induced,48507.936,Large Hold Zero
59,Agriculture,2040,7-TotalValueAdded,Total,53045.502,Large Hold Zero
60,Agriculture,2040,8-Output,Direct,0,Large Hold Zero
61,Agriculture,2040,8-Output,Indirect,7969.594,Large Hold Zero
62,Agriculture,2040,8-Output,Induced,105180.988,Large Hold Zero
63,Agriculture,2040,8-Output,Total,113150.586,Large Hold Zero
64,Agriculture,2045,1-Employment,Direct,0,Large Hold Zero
65,Agriculture,2045,1-Employment,Indirect,0.066,Large Hold Zero
66,Agriculture,2045,1-Employment,Induced,1.966,Large Hold Zero
67,Agriculture,2045,1-Employment,Total,2.03,Large Hold Zero
68,Agriculture,2045,2-EmployeeCompensation,Direct,0,Large Hold Zero
69,Agriculture,2045,2-EmployeeCompensation,Indirect,1281.942,Large Hold Zero
70,Agriculture,2045,2-EmployeeCompensation,Induced,21054.11,Large Hold Zero
71,Agriculture,2045,2-EmployeeCompensation,Total,22336.054,Large Hold Zero
72,Agriculture,2045,3-PropietorsIncome,Direct,0,Large Hold Zero
73,Agriculture,2045,3-PropietorsIncome,Indirect,1798.892,Large Hold Zero
74,Agriculture,2045,3-PropietorsIncome,Induced,8815.404,Large Hold Zero
75,Agriculture,2045,3-PropietorsIncome,Total,10614.304,Large Hold Zero
76,Agriculture,2045,4-LaborIncome,Direct,0,Large Hold Zero
77,Agriculture,2045,4-LaborIncome,Indirect,3080.846,Large Hold Zero
78,Agriculture,2045,4-LaborIncome,Induced,29869.51,Large Hold Zero
79,Agriculture,2045,4-LaborIncome,Total,32950.35,Large Hold Zero
80,Agriculture,2045,5-OtherPropertyTypeIncome,Direct,0,Large Hold Zero
81,Agriculture,2045,5-OtherPropertyTypeIncome,Indirect,291.184,Large Hold Zero
82,Agriculture,2045,5-OtherPropertyTypeIncome,Induced,14639.608,Large Hold Zero
83,Agriculture,2045,5-OtherPropertyTypeIncome,Total,14930.806,Large Hold Zero
84,Agriculture,2045,6-IndirectBusinessTaxes,Direct,0,Large Hold Zero
85,Agriculture,2045,6-IndirectBusinessTaxes,Indirect,34.076,Large Hold Zero
86,Agriculture,2045,6-IndirectBusinessTaxes,Induced,259.544,Large Hold Zero
87,Agriculture,2045,6-IndirectBusinessTaxes,Total,293.622,Large Hold Zero
88,Agriculture,2045,7-TotalValueAdded,Direct,0,Large Hold Zero
89,Agriculture,2045,7-TotalValueAdded,Indirect,3406.102,Large Hold Zero
90,Agriculture,2045,7-TotalValueAdded,Induced,44768.674,Large Hold Zero
91,Agriculture,2045,7-TotalValueAdded,Total,48174.766,Large Hold Zero
92,Agriculture,2045,8-Output,Direct,0,Large Hold Zero
93,Agriculture,2045,8-Output,Indirect,6407.53,Large Hold Zero
94,Agriculture,2045,8-Output,Induced,97124.828,Large Hold Zero
95,Agriculture,2045,8-Output,Total,103532.352,Large Hold Zero
96,Agriculture,2050,1-Employment,Direct,0,Large Hold Zero
97,Agriculture,2050,1-Employment,Indirect,0.066,Large Hold Zero
98,Agriculture,2050,1-Employment,Induced,1.966,Large Hold Zero
99,Agriculture,2050,1-Employment,Total,2.032,Large Hold Zero
100,Agriculture,2050,2-EmployeeCompensation,Direct,0,Large Hold Zero
101,Agriculture,2050,2-EmployeeCompensation,Indirect,1282.608,Large Hold Zero
102,Agriculture,2050,2-EmployeeCompensation,Induced,21078.33,Large Hold Zero
103,Agriculture,2050,2-EmployeeCompensation,Total,22360.934,Large Hold Zero
104,Agriculture,2050,3-PropietorsIncome,Direct,0,Large Hold Zero
105,Agriculture,2050,3-PropietorsIncome,Indirect,1799.384,Large Hold Zero
106,Agriculture,2050,3-PropietorsIncome,Induced,8825.762,Large Hold Zero
107,Agriculture,2050,3-PropietorsIncome,Total,10625.142,Large Hold Zero
108,Agriculture,2050,4-LaborIncome,Direct,0,Large Hold Zero
109,Agriculture,2050,4-LaborIncome,Indirect,3081.992,Large Hold Zero
110,Agriculture,2050,4-LaborIncome,Induced,29904.094,Large Hold Zero
111,Agriculture,2050,4-LaborIncome,Total,32986.08,Large Hold Zero
112,Agriculture,2050,5-OtherPropertyTypeIncome,Direct,0,Large Hold Zero
113,Agriculture,2050,5-OtherPropertyTypeIncome,Indirect,292.1,Large Hold Zero
114,Agriculture,2050,5-OtherPropertyTypeIncome,Induced,14657.486,Large Hold Zero
115,Agriculture,2050,5-OtherPropertyTypeIncome,Total,14949.586,Large Hold Zero
116,Agriculture,2050,6-IndirectBusinessTaxes,Direct,0,Large Hold Zero
117,Agriculture,2050,6-IndirectBusinessTaxes,Indirect,34.072,Large Hold Zero
118,Agriculture,2050,6-IndirectBusinessTaxes,Induced,259.846,Large Hold Zero
