,Industry,Year,Metric,Attribute,Value,Scenario
0,Agriculture,2035,1-Employment,Direct,0,Small Base Case
1,Agriculture,2035,1-Employment,Indirect,0.452,Small Base Case
2,Agriculture,2035,1-Employment,Induced,2.286,Small Base Case
3,Agriculture,2035,1-Employment,Total,2.746,Small Base Case
4,Agriculture,2035,2-EmployeeCompensation,Direct,0,Small Base Case
5,Agriculture,2035,2-EmployeeCompensation,Indirect,4287.03,Small Base Case
6,Agriculture,2035,2-EmployeeCompensation,Induced,24545.284,Small Base Case
7,Agriculture,2035,2-EmployeeCompensation,Total,28832.314,Small Base Case
8,Agriculture,2035,3-PropietorsIncome,Direct,0,Small Base Case
9,Agriculture,2035,3-PropietorsIncome,Indirect,4085.384,Small Base Case
10,Agriculture,2035,3-PropietorsIncome,Induced,10970.934,Small Base Case
11,Agriculture,2035,3-PropietorsIncome,Total,15056.31,Small Base Case
12,Agriculture,2035,4-LaborIncome,Direct,0,Small Base Case
13,Agriculture,2035,4-LaborIncome,Indirect,8372.406,Small Base Case
14,Agriculture,2035,4-LaborIncome,Induced,35516.21,Small Base Case
15,Agriculture,2035,4-LaborIncome,Total,43888.63,Small Base Case
16,Agriculture,2035,5-OtherPropertyTypeIncome,Direct,0,Small Base Case
17,Agriculture,2035,5-OtherPropertyTypeIncome,Indirect,300.698,Small Base Case
18,Agriculture,2035,5-OtherPropertyTypeIncome,Induced,17981.796,Small Base Case
19,Agriculture,2035,5-OtherPropertyTypeIncome,Total,18282.488,Small Base Case
20,Agriculture,2035,6-IndirectBusinessTaxes,Direct,0,Small Base Case
21,Agriculture,2035,6-IndirectBusinessTaxes,Indirect,-0.008,Small Base Case
22,Agriculture,2035,6-IndirectBusinessTaxes,Induced,321.29,Small Base Case
23,Agriculture,2035,6-IndirectBusinessTaxes,Total,321.29,Small Base Case
24,Agriculture,2035,7-TotalValueAdded,Direct,0,Small Base Case
25,Agriculture,2035,7-TotalValueAdded,Indirect,8673.11,Small Base Case
26,Agriculture,2035,7-TotalValueAdded,Induced,53819.296,Small Base Case
27,Agriculture,2035,7-TotalValueAdded,Total,62492.4,Small Base Case
28,Agriculture,2035,8-Output,Direct,0,Small Base Case
29,Agriculture,2035,8-Output,Indirect,15442.012,Small Base Case
30,Agriculture,2035,8-Output,Induced,115182.424,Small Base Case
31,Agriculture,2035,8-Output,Total,130624.436,Small Base Case
32,Agriculture,2040,1-Employment,Direct,0,Small Base Case
33,Agriculture,2040,1-Employment,Indirect,0.034,Small Base Case
34,Agriculture,2040,1-Employment,Induced,1.034,Small Base Case
35,Agriculture,2040,1-Employment,Total,1.072,Small Base Case
36,Agriculture,2040,2-EmployeeCompensation,Direct,0,Small Base Case
37,Agriculture,2040,2-EmployeeCompensation,Indirect,664.532,Small Base Case
38,Agriculture,2040,2-EmployeeCompensation,Induced,11143.006,Small Base Case
39,Agriculture,2040,2-EmployeeCompensation,Total,11807.546,Small Base Case
40,Agriculture,2040,3-PropietorsIncome,Direct,0,Small Base Case
41,Agriculture,2040,3-PropietorsIncome,Indirect,926.87,Small Base Case
42,Agriculture,2040,3-PropietorsIncome,Induced,4669.452,Small Base Case
43,Agriculture,2040,3-PropietorsIncome,Total,5596.31,Small Base Case
44,Agriculture,2040,4-LaborIncome,Direct,0,Small Base Case
45,Agriculture,2040,4-LaborIncome,Indirect,1591.402,Small Base Case
46,Agriculture,2040,4-LaborIncome,Induced,15812.466,Small Base Case
47,Agriculture,2040,4-LaborIncome,Total,17403.858,Small Base Case
48,Agriculture,2040,5-OtherPropertyTypeIncome,Direct,0,Small Base Case
49,Agriculture,2040,5-OtherPropertyTypeIncome,Indirect,162.396,Small Base Case
50,Agriculture,2040,5-OtherPropertyTypeIncome,Induced,7789.104,Small Base Case
51,Agriculture,2040,5-OtherPropertyTypeIncome,Total,7951.488,Small Base Case
52,Agriculture,2040,6-IndirectBusinessTaxes,Direct,0,Small Base Case
53,Agriculture,2040,6-IndirectBusinessTaxes,Indirect,17.23,Small Base Case
54,Agriculture,2040,6-IndirectBusinessTaxes,Induced,138.822,Small Base Case
55,Agriculture,2040,6-IndirectBusinessTaxes,Total,156.06,Small Base Case
56,Agriculture,2040,7-TotalValueAdded,Direct,0,Small Base Case
57,Agriculture,2040,7-TotalValueAdded,Indirect,1771.038,Small Base Case
58,Agriculture,2040,7-TotalValueAdded,Induced,23740.364,Small Base Case
59,Agriculture,2040,7-TotalValueAdded,Total,25511.402,Small Base Case
60,Agriculture,2040,8-Output,Direct,0,Small Base Case
61,Agriculture,2040,8-Output,Indirect,3358.826,Small Base Case
62,Agriculture,2040,8-Output,Induced,51484.806,Small Base Case
63,Agriculture,2040,8-Output,Total,54843.638,Small Base Case
64,Agriculture,2045,1-Employment,Direct,0,Small Base Case
65,Agriculture,2045,1-Employment,Indirect,0.034,Small Base Case
66,Agriculture,2045,1-Employment,Induced,1.044,Small Base Case
67,Agriculture,2045,1-Employment,Total,1.08,Small Base Case
68,Agriculture,2045,2-EmployeeCompensation,Direct,0,Small Base Case
69,Agriculture,2045,2-EmployeeCompensation,Indirect,673.104,Small Base Case
70,Agriculture,2045,2-EmployeeCompensation,Induced,11227.796,Small Base Case
71,Agriculture,2045,2-EmployeeCompensation,Total,11900.9,Small Base Case
72,Agriculture,2045,3-PropietorsIncome,Direct,0,Small Base Case
73,Agriculture,2045,3-PropietorsIncome,Indirect,940.138,Small Base Case
74,Agriculture,2045,3-PropietorsIncome,Induced,4704.474,Small Base Case
75,Agriculture,2045,3-PropietorsIncome,Total,5644.62,Small Base Case
76,Agriculture,2045,4-LaborIncome,Direct,0,Small Base Case
77,Agriculture,2045,4-LaborIncome,Indirect,1613.244,Small Base Case
78,Agriculture,2045,4-LaborIncome,Induced,15932.276,Small Base Case
