,Industry,Year,Metric,Attribute,Value,Scenario
0,Agriculture,2035,1-Employment,Direct,0,Small Hold 10
1,Agriculture,2035,1-Employment,Indirect,0.452,Small Hold 10
2,Agriculture,2035,1-Employment,Induced,2.286,Small Hold 10
3,Agriculture,2035,1-Employment,Total,2.746,Small Hold 10
4,Agriculture,2035,2-EmployeeCompensation,Direct,0,Small Hold 10
5,Agriculture,2035,2-EmployeeCompensation,Indirect,4287.03,Small Hold 10
6,Agriculture,2035,2-EmployeeCompensation,Induced,24545.284,Small Hold 10
7,Agriculture,2035,2-EmployeeCompensation,Total,28832.314,Small Hold 10
8,Agriculture,2035,3-PropietorsIncome,Direct,0,Small Hold 10
9,Agriculture,2035,3-PropietorsIncome,Indirect,4085.384,Small Hold 10
10,Agriculture,2035,3-PropietorsIncome,Induced,10970.934,Small Hold 10
11,Agriculture,2035,3-PropietorsIncome,Total,15056.31,Small Hold 10
12,Agriculture,2035,4-LaborIncome,Direct,0,Small Hold 10
13,Agriculture,2035,4-LaborIncome,Indirect,8372.406,Small Hold 10
14,Agriculture,2035,4-LaborIncome,Induced,35516.21,Small Hold 10
15,Agriculture,2035,4-LaborIncome,Total,43888.63,Small Hold 10
16,Agriculture,2035,5-OtherPropertyTypeIncome,Direct,0,Small Hold 10
17,Agriculture,2035,5-OtherPropertyTypeIncome,Indirect,300.698,Small Hold 10
18,Agriculture,2035,5-OtherPropertyTypeIncome,Induced,17981.796,Small Hold 10
19,Agriculture,2035,5-OtherPropertyTypeIncome,Total,18282.488,Small Hold 10
20,Agriculture,2035,6-IndirectBusinessTaxes,Direct,0,Small Hold 10
21,Agriculture,2035,6-IndirectBusinessTaxes,Indirect,-0.008,Small Hold 10
22,Agriculture,2035,6-IndirectBusinessTaxes,Induced,321.29,Small Hold 10
23,Agriculture,2035,6-IndirectBusinessTaxes,Total,321.29,Small Hold 10
24,Agriculture,2035,7-TotalValueAdded,Direct,0,Small Hold 10
25,Agriculture,2035,7-TotalValueAdded,Indirect,8673.11,Small Hold 10
26,Agriculture,2035,7-TotalValueAdded,Induced,53819.296,Small Hold 10
27,Agriculture,2035,7-TotalValueAdded,Total,62492.4,Small Hold 10
28,Agriculture,2035,8-Output,Direct,0,Small Hold 10
29,Agriculture,2035,8-Output,Indirect,15442.012,Small Hold 10
30,Agriculture,2035,8-Output,Induced,115182.424,Small Hold 10
31,Agriculture,2035,8-Output,Total,130624.436,Small Hold 10
32,Agriculture,2040,1-Employment,Direct,0,Small Hold 10
33,Agriculture,2040,1-Employment,Indirect,0.034,Small Hold 10
34,Agriculture,2040,1-Employment,Induced,1.034,Small Hold 10
35,Agriculture,2040,1-Employment,Total,1.072,Small Hold 10
36,Agriculture,2040,2-EmployeeCompensation,Direct,0,Small Hold 10
37,Agriculture,2040,2-EmployeeCompensation,Indirect,664.532,Small Hold 10
38,Agriculture,2040,2-EmployeeCompensation,Induced,11143.006,Small Hold 10
39,Agriculture,2040,2-EmployeeCompensation,Total,11807.546,Small Hold 10
40,Agriculture,2040,3-PropietorsIncome,Direct,0,Small Hold 10
41,Agriculture,2040,3-PropietorsIncome,Indirect,926.87,Small Hold 10
42,Agriculture,2040,3-PropietorsIncome,Induced,4669.452,Small Hold 10
43,Agriculture,2040,3-PropietorsIncome,Total,5596.31,Small Hold 10
44,Agriculture,2040,4-LaborIncome,Direct,0,Small Hold 10
45,Agriculture,2040,4-LaborIncome,Indirect,1591.402,Small Hold 10
46,Agriculture,2040,4-LaborIncome,Induced,15812.466,Small Hold 10
47,Agriculture,2040,4-LaborIncome,Total,17403.858,Small Hold 10
48,Agriculture,2040,5-OtherPropertyTypeIncome,Direct,0,Small Hold 10
49,Agriculture,2040,5-OtherPropertyTypeIncome,Indirect,162.396,Small Hold 10
50,Agriculture,2040,5-OtherPropertyTypeIncome,Induced,7789.104,Small Hold 10
51,Agriculture,2040,5-OtherPropertyTypeIncome,Total,7951.488,Small Hold 10
52,Agriculture,2040,6-IndirectBusinessTaxes,Direct,0,Small Hold 10
53,Agriculture,2040,6-IndirectBusinessTaxes,Indirect,17.23,Small Hold 10
54,Agriculture,2040,6-IndirectBusinessTaxes,Induced,138.822,Small Hold 10
55,Agriculture,2040,6-IndirectBusinessTaxes,Total,156.06,Small Hold 10
56,Agriculture,2040,7-TotalValueAdded,Direct,0,Small Hold 10
57,Agriculture,2040,7-TotalValueAdded,Indirect,1771.038,Small Hold 10
58,Agriculture,2040,7-TotalValueAdded,Induced,23740.364,Small Hold 10
59,Agriculture,2040,7-TotalValueAdded,Total,25511.402,Small Hold 10
60,Agriculture,2040,8-Output,Direct,0,Small Hold 10
61,Agriculture,2040,8-Output,Indirect,3358.826,Small Hold 10
62,Agriculture,2040,8-Output,Induced,51484.806,Small Hold 10
63,Agriculture,2040,8-Output,Total,54843.638,Small Hold 10
64,Agriculture,2045,1-Employment,Direct,0,Small Hold 10
65,Agriculture,2045,1-Employment,Indirect,0.034,Small Hold 10
66,Agriculture,2045,1-Employment,Induced,1.044,Small Hold 10
67,Agriculture,2045,1-Employment,Total,1.08,Small Hold 10
68,Agriculture,2045,2-EmployeeCompensation,Direct,0,Small Hold 10
69,Agriculture,2045,2-EmployeeCompensation,Indirect,673.104,Small Hold 10
70,Agriculture,2045,2-EmployeeCompensation,Induced,11227.796,Small Hold 10
71,Agriculture,2045,2-EmployeeCompensation,Total,11900.9,Small Hold 10
72,Agriculture,2045,3-PropietorsIncome,Direct,0,Small Hold 10
73,Agriculture,2045,3-PropietorsIncome,Indirect,940.138,Small Hold 10
74,Agriculture,2045,3-PropietorsIncome,Induced,4704.474,Small Hold 10
75,Agriculture,2045,3-PropietorsIncome,Total,5644.62,Small Hold 10
76,Agriculture,2045,4-LaborIncome,Direct,0,Small Hold 10
77,Agriculture,2045,4-LaborIncome,Indirect,1613.244,Small Hold 10
78,Agriculture,2045,4-LaborIncome,Induced,15932.276,Small Hold 10
79,Agriculture,2045,4-LaborIncome,Total,17545.534,Small Hold 10
80,Agriculture,2045,5-OtherPropertyTypeIncome,Direct,0,Small Hold 10
81,Agriculture,2045,5-OtherPropertyTypeIncome,Indirect,162.13,Small Hold 10
82,Agriculture,2045,5-OtherPropertyTypeIncome,Induced,7849.9,Small Hold 10
83,Agriculture,2045,5-OtherPropertyTypeIncome,Total,8012.044,Small Hold 10
84,Agriculture,2045,6-IndirectBusinessTaxes,Direct,0,Small Hold 10
85,Agriculture,2045,6-IndirectBusinessTaxes,Indirect,17.55,Small Hold 10
86,Agriculture,2045,6-IndirectBusinessTaxes,Induced,139.872,Small Hold 10
87,Agriculture,2045,6-IndirectBusinessTaxes,Total,157.43,Small Hold 10
88,Agriculture,2045,7-TotalValueAdded,Direct,0,Small Hold 10
89,Agriculture,2045,7-TotalValueAdded,Indirect,1792.944,Small Hold 10
90,Agriculture,2045,7-TotalValueAdded,Induced,23922.058,Small Hold 10
91,Agriculture,2045,7-TotalValueAdded,Total,25714.992,Small Hold 10
92,Agriculture,2045,8-Output,Direct,0,Small Hold 10
93,Agriculture,2045,8-Output,Indirect,3394.954,Small Hold 10
94,Agriculture,2045,8-Output,Induced,51877.236,Small Hold 10
95,Agriculture,2045,8-Output,Total,55272.182,Small Hold 10
96,Agriculture,2050,1-Employment,Direct,0,Small Hold 10
97,Agriculture,2050,1-Employment,Indirect,0.034,Small Hold 10
98,Agriculture,2050,1-Employment,Induced,1.03,Small Hold 10
99,Agriculture,2050,1-Employment,Total,1.07,Small Hold 10
100,Agriculture,2050,2-EmployeeCompensation,Direct,0,Small Hold 10
101,Agriculture,2050,2-EmployeeCompensation,Indirect,665.206,Small Hold 10
102,Agriculture,2050,2-EmployeeCompensation,Induced,11106.938,Small Hold 10
103,Agriculture,2050,2-EmployeeCompensation,Total,11772.158,Small Hold 10
104,Agriculture,2050,3-PropietorsIncome,Direct,0,Small Hold 10
105,Agriculture,2050,3-PropietorsIncome,Indirect,929.222,Small Hold 10
106,Agriculture,2050,3-PropietorsIncome,Induced,4653.72,Small Hold 10
107,Agriculture,2050,3-PropietorsIncome,Total,5582.934,Small Hold 10
108,Agriculture,2050,4-LaborIncome,Direct,0,Small Hold 10
109,Agriculture,2050,4-LaborIncome,Indirect,1594.434,Small Hold 10
110,Agriculture,2050,4-LaborIncome,Induced,15760.652,Small Hold 10
111,Agriculture,2050,4-LaborIncome,Total,17355.084,Small Hold 10
112,Agriculture,2050,5-OtherPropertyTypeIncome,Direct,0,Small Hold 10
113,Agriculture,2050,5-OtherPropertyTypeIncome,Indirect,160.104,Small Hold 10
114,Agriculture,2050,5-OtherPropertyTypeIncome,Induced,7762.022,Small Hold 10
115,Agriculture,2050,5-OtherPropertyTypeIncome,Total,7922.118,Small Hold 10
116,Agriculture,2050,6-IndirectBusinessTaxes,Direct,0,Small Hold 10
117,Agriculture,2050,6-IndirectBusinessTaxes,Indirect,17.334,Small Hold 10
