,Industry,Year,Metric,Attribute,Value,Scenario
0,Agriculture,2035,1-Employment,Direct,0,Small Hold Zero
1,Agriculture,2035,1-Employment,Indirect,0.452,Small Hold Zero
2,Agriculture,2035,1-Employment,Induced,2.286,Small Hold Zero
3,Agriculture,2035,1-Employment,Total,2.746,Small Hold Zero
4,Agriculture,2035,2-EmployeeCompensation,Direct,0,Small Hold Zero
5,Agriculture,2035,2-EmployeeCompensation,Indirect,4287.03,Small Hold Zero
6,Agriculture,2035,2-EmployeeCompensation,Induced,24545.284,Small Hold Zero
7,Agriculture,2035,2-EmployeeCompensation,Total,28832.314,Small Hold Zero
8,Agriculture,2035,3-PropietorsIncome,Direct,0,Small Hold Zero
9,Agriculture,2035,3-PropietorsIncome,Indirect,4085.384,Small Hold Zero
10,Agriculture,2035,3-PropietorsIncome,Induced,10970.934,Small Hold Zero
11,Agriculture,2035,3-PropietorsIncome,Total,15056.31,Small Hold Zero
12,Agriculture,2035,4-LaborIncome,Direct,0,Small Hold Zero
13,Agriculture,2035,4-LaborIncome,Indirect,8372.406,Small Hold Zero
14,Agriculture,2035,4-LaborIncome,Induced,35516.21,Small Hold Zero
15,Agriculture,2035,4-LaborIncome,Total,43888.63,Small Hold Zero
16,Agriculture,2035,5-OtherPropertyTypeIncome,Direct,0,Small Hold Zero
17,Agriculture,2035,5-OtherPropertyTypeIncome,Indirect,300.698,Small Hold Zero
18,Agriculture,2035,5-OtherPropertyTypeIncome,Induced,17981.796,Small Hold Zero
19,Agriculture,2035,5-OtherPropertyTypeIncome,Total,18282.488,Small Hold Zero
20,Agriculture,2035,6-IndirectBusinessTaxes,Direct,0,Small Hold Zero
21,Agriculture,2035,6-IndirectBusinessTaxes,Indirect,-0.008,Small Hold Zero
22,Agriculture,2035,6-IndirectBusinessTaxes,Induced,321.29,Small Hold Zero
23,Agriculture,2035,6-IndirectBusinessTaxes,Total,321.29,Small Hold Zero
24,Agriculture,2035,7-TotalValueAdded,Direct,0,Small Hold Zero
25,Agriculture,2035,7-TotalValueAdded,Indirect,8673.11,Small Hold Zero
26,Agriculture,2035,7-TotalValueAdded,Induced,53819.296,Small Hold Zero
27,Agriculture,2035,7-TotalValueAdded,Total,62492.4,Small Hold Zero
28,Agriculture,2035,8-Output,Direct,0,Small Hold Zero
29,Agriculture,2035,8-Output,Indirect,15442.012,Small Hold Zero
30,Agriculture,2035,8-Output,Induced,115182.424,Small Hold Zero
31,Agriculture,2035,8-Output,Total,130624.436,Small Hold Zero
32,Agriculture,2040,1-Employment,Direct,0,Small Hold Zero
33,Agriculture,2040,1-Employment,Indirect,0.034,Small Hold Zero
34,Agriculture,2040,1-Employment,Induced,1.034,Small Hold Zero
35,Agriculture,2040,1-Employment,Total,1.072,Small Hold Zero
36,Agriculture,2040,2-EmployeeCompensation,Direct,0,Small Hold Zero
37,Agriculture,2040,2-EmployeeCompensation,Indirect,664.532,Small Hold Zero
38,Agriculture,2040,2-EmployeeCompensation,Induced,11143.006,Small Hold Zero
39,Agriculture,2040,2-EmployeeCompensation,Total,11807.546,Small Hold Zero
40,Agriculture,2040,3-PropietorsIncome,Direct,0,Small Hold Zero
41,Agriculture,2040,3-PropietorsIncome,Indirect,926.87,Small Hold Zero
42,Agriculture,2040,3-PropietorsIncome,Induced,4669.452,Small Hold Zero
43,Agriculture,2040,3-PropietorsIncome,Total,5596.31,Small Hold Zero
44,Agriculture,2040,4-LaborIncome,Direct,0,Small Hold Zero
45,Agriculture,2040,4-LaborIncome,Indirect,1591.402,Small Hold Zero
46,Agriculture,2040,4-LaborIncome,Induced,15812.466,Small Hold Zero
47,Agriculture,2040,4-LaborIncome,Total,17403.858,Small Hold Zero
48,Agriculture,2040,5-OtherPropertyTypeIncome,Direct,0,Small Hold Zero
49,Agriculture,2040,5-OtherPropertyTypeIncome,Indirect,162.396,Small Hold Zero
50,Agriculture,2040,5-OtherPropertyTypeIncome,Induced,7789.104,Small Hold Zero
51,Agriculture,2040,5-OtherPropertyTypeIncome,Total,7951.488,Small Hold Zero
52,Agriculture,2040,6-IndirectBusinessTaxes,Direct,0,Small Hold Zero
53,Agriculture,2040,6-IndirectBusinessTaxes,Indirect,17.23,Small Hold Zero
54,Agriculture,2040,6-IndirectBusinessTaxes,Induced,138.822,Small Hold Zero
55,Agriculture,2040,6-IndirectBusinessTaxes,Total,156.06,Small Hold Zero
56,Agriculture,2040,7-TotalValueAdded,Direct,0,Small Hold Zero
57,Agriculture,2040,7-TotalValueAdded,Indirect,1771.038,Small Hold Zero
58,Agriculture,2040,7-TotalValueAdded,Induced,23740.364,Small Hold Zero
59,Agriculture,2040,7-TotalValueAdded,Total,25511.402,Small Hold Zero
60,Agriculture,2040,8-Output,Direct,0,Small Hold Zero
61,Agriculture,2040,8-Output,Indirect,3358.826,Small Hold Zero
62,Agriculture,2040,8-Output,Induced,51484.806,Small Hold Zero
63,Agriculture,2040,8-Output,Total,54843.638,Small Hold Zero
64,Agriculture,2045,1-Employment,Direct,0,Small Hold Zero
65,Agriculture,2045,1-Employment,Indirect,0.034,Small Hold Zero
66,Agriculture,2045,1-Employment,Induced,1.044,Small Hold Zero
67,Agriculture,2045,1-Employment,Total,1.08,Small Hold Zero
68,Agriculture,2045,2-EmployeeCompensation,Direct,0,Small Hold Zero
69,Agriculture,2045,2-EmployeeCompensation,Indirect,673.104,Small Hold Zero
70,Agriculture,2045,2-EmployeeCompensation,Induced,11227.796,Small Hold Zero
71,Agriculture,2045,2-EmployeeCompensation,Total,11900.9,Small Hold Zero
72,Agriculture,2045,3-PropietorsIncome,Direct,0,Small Hold Zero
73,Agriculture,2045,3-PropietorsIncome,Indirect,940.138,Small Hold Zero
74,Agriculture,2045,3-PropietorsIncome,Induced,4704.474,Small Hold Zero
75,Agriculture,2045,3-PropietorsIncome,Total,5644.62,Small Hold Zero
76,Agriculture,2045,4-LaborIncome,Direct,0,Small Hold Zero
77,Agriculture,2045,4-LaborIncome,Indirect,1613.244,Small Hold Zero
78,Agriculture,2045,4-LaborIncome,Induced,15932.276,Small Hold Zero
79,Agriculture,2045,4-LaborIncome,Total,17545.534,Small Hold Zero
80,Agriculture,2045,5-OtherPropertyTypeIncome,Direct,0,Small Hold Zero
81,Agriculture,2045,5-OtherPropertyTypeIncome,Indirect,162.13,Small Hold Zero
82,Agriculture,2045,5-OtherPropertyTypeIncome,Induced,7849.9,Small Hold Zero
83,Agriculture,2045,5-OtherPropertyTypeIncome,Total,8012.044,Small Hold Zero
84,Agriculture,2045,6-IndirectBusinessTaxes,Direct,0,Small Hold Zero
85,Agriculture,2045,6-IndirectBusinessTaxes,Indirect,17.55,Small Hold Zero
86,Agriculture,2045,6-IndirectBusinessTaxes,Induced,139.872,Small Hold Zero
87,Agriculture,2045,6-IndirectBusinessTaxes,Total,157.43,Small Hold Zero
88,Agriculture,2045,7-TotalValueAdded,Direct,0,Small Hold Zero
89,Agriculture,2045,7-TotalValueAdded,Indirect,1792.944,Small Hold Zero
90,Agriculture,2045,7-TotalValueAdded,Induced,23922.058,Small Hold Zero
91,Agriculture,2045,7-TotalValueAdded,Total,25714.992,Small Hold Zero
92,Agriculture,2045,8-Output,Direct,0,Small Hold Zero
93,Agriculture,2045,8-Output,Indirect,3394.954,Small Hold Zero
94,Agriculture,2045,8-Output,Induced,51877.236,Small Hold Zero
95,Agriculture,2045,8-Output,Total,55272.182,Small Hold Zero
96,Agriculture,2050,1-Employment,Direct,0,Small Hold Zero
97,Agriculture,2050,1-Employment,Indirect,0.034,Small Hold Zero
98,Agriculture,2050,1-Employment,Induced,1.03,Small Hold Zero
99,Agriculture,2050,1-Employment,Total,1.07,Small Hold Zero
100,Agriculture,2050,2-EmployeeCompensation,Direct,0,Small Hold Zero
101,Agriculture,2050,2-EmployeeCompensation,Indirect,665.206,Small Hold Zero
102,Agriculture,2050,2-EmployeeCompensation,Induced,11106.938,Small Hold Zero
103,Agriculture,2050,2-EmployeeCompensation,Total,11772.158,Small Hold Zero
104,Agriculture,2050,3-PropietorsIncome,Direct,0,Small Hold Zero
105,Agriculture,2050,3-PropietorsIncome,Indirect,929.222,Small Hold Zero
106,Agriculture,2050,3-PropietorsIncome,Induced,4653.72,Small Hold Zero
107,Agriculture,2050,3-PropietorsIncome,Total,5582.934,Small Hold Zero
108,Agriculture,2050,4-LaborIncome,Direct,0,Small Hold Zero
109,Agriculture,2050,4-LaborIncome,Indirect,1594.434,Small Hold Zero
110,Agriculture,2050,4-LaborIncome,Induced,15760.652,Small Hold Zero
111,Agriculture,2050,4-LaborIncome,Total,17355.084,Small Hold Zero
112,Agriculture,2050,5-OtherPropertyTypeIncome,Direct,0,Small Hold Zero
113,Agriculture,2050,5-OtherPropertyTypeIncome,Indirect,160.104,Small Hold Zero
114,Agriculture,2050,5-OtherPropertyTypeIncome,Induced,7762.022,Small Hold Zero
115,Agriculture,2050,5-OtherPropertyTypeIncome,Total,7922.118,Small Hold Zero
116,Agriculture,2050,6-IndirectBusinessTaxes,Direct,0,Small Hold Zero
117,Agriculture,2050,6-IndirectBusinessTaxes,Indirect,17.334,Small Hold Zero
118,Agriculture,2050,6-IndirectBusinessTaxes,Induced,138.38,Small Hold Zero
119,Agriculture,2050,6-IndirectBusinessTaxes,Total,155.71,Small Hold Zero
120,Agriculture,2050,7-TotalValueAdded,Direct,0,Small Hold Zero
121,Agriculture,2050,7-TotalValueAdded,Indirect,1771.874,Small Hold Zero
122,Agriculture,2050,7-TotalValueAdded,Induced,23661.044,Small Hold Zero
123,Agriculture,2050,7-TotalValueAdded,Total,25432.922,Small Hold Zero
124,Agriculture,2050,8-Output,Direct,0,Small Hold Zero
125,Agriculture,2050,8-Output,Indirect,3355.234,Small Hold Zero
126,Agriculture,2050,8-Output,Induced,51313.288,Small Hold Zero
127,Agriculture,2050,8-Output,Total,54668.524,Small Hold Zero
128,Agriculture,2055,1-Employment,Direct,0,Small Hold Zero
129,Agriculture,2055,1-Employment,Indirect,0.034,Small Hold Zero
130,Agriculture,2055,1-Employment,Induced,1.04,Small Hold Zero
131,Agriculture,2055,1-Employment,Total,1.074,Small Hold Zero
132,Agriculture,2055,2-EmployeeCompensation,Direct,0,Small Hold Zero
133,Agriculture,2055,2-EmployeeCompensation,Indirect,671.912,Small Hold Zero
134,Agriculture,2055,2-EmployeeCompensation,Induced,11182.018,Small Hold Zero
135,Agriculture,2055,2-EmployeeCompensation,Total,11853.93,Small Hold Zero
136,Agriculture,2055,3-PropietorsIncome,Direct,0,Small Hold Zero
137,Agriculture,2055,3-PropietorsIncome,Indirect,939.336,Small Hold Zero
138,Agriculture,2055,3-PropietorsIncome,Induced,4684.898,Small Hold Zero
139,Agriculture,2055,3-PropietorsIncome,Total,5624.234,Small Hold Zero
140,Agriculture,2055,4-LaborIncome,Direct,0,Small Hold Zero
141,Agriculture,2055,4-LaborIncome,Indirect,1611.242,Small Hold Zero
142,Agriculture,2055,4-LaborIncome,Induced,15866.916,Small Hold Zero
143,Agriculture,2055,4-LaborIncome,Total,17478.172,Small Hold Zero
144,Agriculture,2055,5-OtherPropertyTypeIncome,Direct,0,Small Hold Zero
145,Agriculture,2055,5-OtherPropertyTypeIncome,Indirect,160.38,Small Hold Zero
146,Agriculture,2055,5-OtherPropertyTypeIncome,Induced,7816.12,Small Hold Zero
147,Agriculture,2055,5-OtherPropertyTypeIncome,Total,7976.492,Small Hold Zero
148,Agriculture,2055,6-IndirectBusinessTaxes,Direct,0,Small Hold Zero
149,Agriculture,2055,6-IndirectBusinessTaxes,Indirect,17.56,Small Hold Zero
150,Agriculture,2055,6-IndirectBusinessTaxes,Induced,139.312,Small Hold Zero
151,Agriculture,2055,6-IndirectBusinessTaxes,Total,156.872,Small Hold Zero
152,Agriculture,2055,7-TotalValueAdded,Direct,0,Small Hold Zero
153,Agriculture,2055,7-TotalValueAdded,Indirect,1789.192,Small Hold Zero
154,Agriculture,2055,7-TotalValueAdded,Induced,23822.348,Small Hold Zero
155,Agriculture,2055,7-TotalValueAdded,Total,25611.53,Small Hold Zero
156,Agriculture,2055,8-Output,Direct,0,Small Hold Zero
157,Agriculture,2055,8-Output,Indirect,3384.864,Small Hold Zero
158,Agriculture,2055,8-Output,Induced,51661.77,Small Hold Zero
159,Agriculture,2055,8-Output,Total,55046.638,Small Hold Zero
160,Agriculture,2060,1-Employment,Direct,0,Small Hold Zero
161,Agriculture,2060,1-Employment,Indirect,0.016,Small Hold Zero
162,Agriculture,2060,1-Employment,Induced,0.626,Small Hold Zero
163,Agriculture,2060,1-Employment,Total,0.646,Small Hold Zero
164,Agriculture,2060,2-EmployeeCompensation,Direct,0,Small Hold Zero
165,Agriculture,2060,2-EmployeeCompensation,Indirect,359.024,Small Hold Zero
166,Agriculture,2060,2-EmployeeCompensation,Induced,6665.93,Small Hold Zero
167,Agriculture,2060,2-EmployeeCompensation,Total,7024.942,Small Hold Zero
168,Agriculture,2060,3-PropietorsIncome,Direct,0,Small Hold Zero
169,Agriculture,2060,3-PropietorsIncome,Indirect,498.234,Small Hold Zero
170,Agriculture,2060,3-PropietorsIncome,Induced,2793.914,Small Hold Zero
171,Agriculture,2060,3-PropietorsIncome,Total,3292.144,Small Hold Zero
172,Agriculture,2060,4-LaborIncome,Direct,0,Small Hold Zero
173,Agriculture,2060,4-LaborIncome,Indirect,857.252,Small Hold Zero
174,Agriculture,2060,4-LaborIncome,Induced,9459.834,Small Hold Zero
175,Agriculture,2060,4-LaborIncome,Total,10317.094,Small Hold Zero
176,Agriculture,2060,5-OtherPropertyTypeIncome,Direct,0,Small Hold Zero
177,Agriculture,2060,5-OtherPropertyTypeIncome,Indirect,95.004,Small Hold Zero
178,Agriculture,2060,5-OtherPropertyTypeIncome,Induced,4524.312,Small Hold Zero
179,Agriculture,2060,5-OtherPropertyTypeIncome,Total,4619.332,Small Hold Zero
180,Agriculture,2060,6-IndirectBusinessTaxes,Direct,0,Small Hold Zero
181,Agriculture,2060,6-IndirectBusinessTaxes,Indirect,8.62,Small Hold Zero
182,Agriculture,2060,6-IndirectBusinessTaxes,Induced,83.174,Small Hold Zero
183,Agriculture,2060,6-IndirectBusinessTaxes,Total,91.792,Small Hold Zero
184,Agriculture,2060,7-TotalValueAdded,Direct,0,Small Hold Zero
185,Agriculture,2060,7-TotalValueAdded,Indirect,960.888,Small Hold Zero
186,Agriculture,2060,7-TotalValueAdded,Induced,14067.336,Small Hold Zero
187,Agriculture,2060,7-TotalValueAdded,Total,15028.226,Small Hold Zero
188,Agriculture,2060,8-Output,Direct,0,Small Hold Zero
189,Agriculture,2060,8-Output,Indirect,1855.122,Small Hold Zero
190,Agriculture,2060,8-Output,Induced,30584.968,Small Hold Zero
191,Agriculture,2060,8-Output,Total,32440.066,Small Hold Zero
192,Agriculture,2065,1-Employment,Direct,0,Small Hold Zero
193,Agriculture,2065,1-Employment,Indirect,0.012,Small Hold Zero
194,Agriculture,2065,1-Employment,Induced,0.462,Small Hold Zero
195,Agriculture,2065,1-Employment,Total,0.48,Small Hold Zero
196,Agriculture,2065,2-EmployeeCompensation,Direct,0,Small Hold Zero
197,Agriculture,2065,2-EmployeeCompensation,Indirect,242.9,Small Hold Zero
198,Agriculture,2065,2-EmployeeCompensation,Induced,4900.57,Small Hold Zero
199,Agriculture,2065,2-EmployeeCompensation,Total,5143.468,Small Hold Zero
200,Agriculture,2065,3-PropietorsIncome,Direct,0,Small Hold Zero
201,Agriculture,2065,3-PropietorsIncome,Indirect,336.888,Small Hold Zero
202,Agriculture,2065,3-PropietorsIncome,Induced,2060.57,Small Hold Zero
203,Agriculture,2065,3-PropietorsIncome,Total,2397.448,Small Hold Zero
204,Agriculture,2065,4-LaborIncome,Direct,0,Small Hold Zero
205,Agriculture,2065,4-LaborIncome,Indirect,579.786,Small Hold Zero
206,Agriculture,2065,4-LaborIncome,Induced,6961.156,Small Hold Zero
207,Agriculture,2065,4-LaborIncome,Total,7540.93,Small Hold Zero
208,Agriculture,2065,5-OtherPropertyTypeIncome,Direct,0,Small Hold Zero
209,Agriculture,2065,5-OtherPropertyTypeIncome,Indirect,68.564,Small Hold Zero
210,Agriculture,2065,5-OtherPropertyTypeIncome,Induced,3190.66,Small Hold Zero
211,Agriculture,2065,5-OtherPropertyTypeIncome,Total,3259.234,Small Hold Zero
212,Agriculture,2065,6-IndirectBusinessTaxes,Direct,0,Small Hold Zero
213,Agriculture,2065,6-IndirectBusinessTaxes,Indirect,5.35,Small Hold Zero
214,Agriculture,2065,6-IndirectBusinessTaxes,Induced,61.034,Small Hold Zero
215,Agriculture,2065,6-IndirectBusinessTaxes,Total,66.382,Small Hold Zero
216,Agriculture,2065,7-TotalValueAdded,Direct,0,Small Hold Zero
